,user_id,count,mean,std,min,25%,50%,75%,max
0,6,1.0,443.9,,443.9,443.9,443.9,443.9,443.9
1,7,1.0,359.68,,359.68,359.68,359.68,359.68,359.68
2,8,1.0,2416.7,,2416.7,2416.7,2416.7,2416.7,2416.7
3,19,1.0,165.14,,165.14,165.14,165.14,165.14,165.14
4,132,1.0,714.56,,714.56,714.56,714.56,714.56,714.56
5,136,1.0,2543.0,,2543.0,2543.0,2543.0,2543.0,2543.0
6,153,1.0,1413.49,,1413.49,1413.49,1413.49,1413.49,1413.49
7,163,1.0,305.28,,305.28,305.28,305.28,305.28,305.28
8,167,1.0,75.78,,75.78,75.78,75.78,75.78,75.78
9,184,1.0,223.63,,223.63,223.63,223.63,223.63,223.63
10,208,1.0,3034.67,,3034.67,3034.67,3034.67,3034.67,3034.67
11,244,1.0,262.66,,262.66,262.66,262.66,262.66,262.66
12,266,2.0,326.445,128.33280971754652,235.7,281.0725,326.445,371.8175,417.19
13,276,1.0,1118.56,,1118.56,1118.56,1118.56,1118.56,1118.56
14,277,1.0,2402.74,,2402.74,2402.74,2402.74,2402.74,2402.74
15,332,1.0,1418.06,,1418.06,1418.06,1418.06,1418.06,1418.06
16,343,1.0,242.6,,242.6,242.6,242.6,242.6,242.6
17,419,1.0,193.21,,193.21,193.21,193.21,193.21,193.21
18,440,1.0,142.28,,142.28,142.28,142.28,142.28,142.28
19,540,1.0,1316.85,,1316.85,1316.85,1316.85,1316.85,1316.85
20,700,1.0,345.72,,345.72,345.72,345.72,345.72,345.72
21,775,1.0,1452.46,,1452.46,1452.46,1452.46,1452.46,1452.46
22,813,1.0,893.03,,893.03,893.03,893.03,893.03,893.03
23,900,1.0,1346.26,,1346.26,1346.26,1346.26,1346.26,1346.26
24,947,1.0,380.15,,380.15,380.15,380.15,380.15,380.15
25,951,1.0,161.35,,161.35,161.35,161.35,161.35,161.35
26,981,1.0,774.47,,774.47,774.47,774.47,774.47,774.47
27,1011,1.0,284.78,,284.78,284.78,284.78,284.78,284.78
28,1072,1.0,499.68,,499.68,499.68,499.68,499.68,499.68
29,1082,1.0,3001.65,,3001.65,3001.65,3001.65,3001.65,3001.65
30,1085,1.0,60.31,,60.31,60.31,60.31,60.31,60.31
31,1104,1.0,73.89,,73.89,73.89,73.89,73.89,73.89
32,1233,1.0,413.65,,413.65,413.65,413.65,413.65,413.65
33,1266,1.0,144.43,,144.43,144.43,144.43,144.43,144.43
34,1268,1.0,196.41,,196.41,196.41,196.41,196.41,196.41
35,1270,1.0,423.59,,423.59,423.59,423.59,423.59,423.59
36,1283,1.0,159.75,,159.75,159.75,159.75,159.75,159.75
37,1391,1.0,457.33,,457.33,457.33,457.33,457.33,457.33
38,1423,1.0,391.01,,391.01,391.01,391.01,391.01,391.01
39,1516,2.0,2364.83,1428.6102564380533,1354.65,1859.7400000000002,2364.83,2869.92,3375.01
40,1518,1.0,80.39,,80.39,80.39,80.39,80.39,80.39
41,1526,1.0,426.47,,426.47,426.47,426.47,426.47,426.47
42,1552,1.0,10.13,,10.13,10.13,10.13,10.13,10.13
43,1620,1.0,35.7,,35.7,35.7,35.7,35.7,35.7
44,1668,2.0,759.6099999999999,414.71812716591006,466.36,612.985,759.6099999999999,906.2349999999999,1052.86
45,1695,1.0,1770.62,,1770.62,1770.62,1770.62,1770.62,1770.62
46,1703,2.0,217.195,75.69578092601994,163.67,190.4325,217.195,243.9575,270.72
47,1733,1.0,142.48,,142.48,142.48,142.48,142.48,142.48
48,1747,1.0,242.2,,242.2,242.2,242.2,242.2,242.2
49,1759,1.0,3859.52,,3859.52,3859.52,3859.52,3859.52,3859.52
50,1811,1.0,289.08,,289.08,289.08,289.08,289.08,289.08
51,1831,1.0,250.41,,250.41,250.41,250.41,250.41,250.41
52,1836,2.0,577.7850000000001,184.63265163561942,447.23,512.5075,577.7850000000001,643.0625,708.34
53,1839,1.0,387.09,,387.09,387.09,387.09,387.09,387.09
54,1877,1.0,286.75,,286.75,286.75,286.75,286.75,286.75
55,2084,1.0,1581.48,,1581.48,1581.48,1581.48,1581.48,1581.48
56,2121,1.0,427.17,,427.17,427.17,427.17,427.17,427.17
57,2159,1.0,1013.95,,1013.95,1013.95,1013.95,1013.95,1013.95
58,2195,1.0,554.41,,554.41,554.41,554.41,554.41,554.41
59,2204,1.0,215.1,,215.1,215.1,215.1,215.1,215.1
60,2227,1.0,189.5,,189.5,189.5,189.5,189.5,189.5
61,2243,1.0,645.04,,645.04,645.04,645.04,645.04,645.04
62,2244,1.0,160.69,,160.69,160.69,160.69,160.69,160.69
63,2251,1.0,406.84,,406.84,406.84,406.84,406.84,406.84
64,2278,1.0,726.48,,726.48,726.48,726.48,726.48,726.48
65,2298,1.0,290.11,,290.11,290.11,290.11,290.11,290.11
66,2361,1.0,45.39,,45.39,45.39,45.39,45.39,45.39
67,2395,1.0,1007.56,,1007.56,1007.56,1007.56,1007.56,1007.56
68,2402,1.0,223.04,,223.04,223.04,223.04,223.04,223.04
69,2427,1.0,237.87,,237.87,237.87,237.87,237.87,237.87
70,2431,1.0,367.38,,367.38,367.38,367.38,367.38,367.38
71,2435,1.0,987.18,,987.18,987.18,987.18,987.18,987.18
72,2484,1.0,1845.94,,1845.94,1845.94,1845.94,1845.94,1845.94
73,2503,1.0,252.61,,252.61,252.61,252.61,252.61,252.61
74,2507,1.0,681.29,,681.29,681.29,681.29,681.29,681.29
75,2543,1.0,131.75,,131.75,131.75,131.75,131.75,131.75
76,2594,1.0,375.12,,375.12,375.12,375.12,375.12,375.12
77,2686,1.0,99.9,,99.9,99.9,99.9,99.9,99.9
78,2708,2.0,417.18,449.28150663030857,99.49,258.335,417.18,576.025,734.87
79,2810,1.0,95.08,,95.08,95.08,95.08,95.08,95.08
80,2866,3.0,216.23666666666668,85.11682814422383,165.82,167.1,168.38,241.445,314.51
81,2868,1.0,163.95,,163.95,163.95,163.95,163.95,163.95
82,2889,1.0,669.82,,669.82,669.82,669.82,669.82,669.82
83,2937,1.0,15.55,,15.55,15.55,15.55,15.55,15.55
84,2975,1.0,657.94,,657.94,657.94,657.94,657.94,657.94
85,3020,1.0,266.14,,266.14,266.14,266.14,266.14,266.14
86,3022,1.0,95.28,,95.28,95.28,95.28,95.28,95.28
87,3039,1.0,166.75,,166.75,166.75,166.75,166.75,166.75
88,3043,1.0,211.74,,211.74,211.74,211.74,211.74,211.74
89,3050,1.0,298.18,,298.18,298.18,298.18,298.18,298.18
90,3060,1.0,20.06,,20.06,20.06,20.06,20.06,20.06
91,3113,1.0,276.96,,276.96,276.96,276.96,276.96,276.96
92,3120,1.0,356.08,,356.08,356.08,356.08,356.08,356.08
93,3157,1.0,183.73,,183.73,183.73,183.73,183.73,183.73
94,3251,1.0,159.47,,159.47,159.47,159.47,159.47,159.47
95,3314,1.0,784.02,,784.02,784.02,784.02,784.02,784.02
96,3344,1.0,637.65,,637.65,637.65,637.65,637.65,637.65
97,3345,1.0,15.15,,15.15,15.15,15.15,15.15,15.15
98,3421,1.0,315.74,,315.74,315.74,315.74,315.74,315.74
99,3442,1.0,4034.56,,4034.56,4034.56,4034.56,4034.56,4034.56
