,user_id,device_id,merchant_id,card_number,transaction_amount,hour_of_day,has_cbk,Prediction
2441,741,360,960,1646,1084.91,16,True,False
927,2081,1313,1305,936,3259.04,17,True,True
602,642,30,1588,2034,852.75,16,False,False
2463,1303,1066,240,2552,10.3,14,False,False
2476,2615,565,1431,2189,275.35,12,False,False
2702,692,-1,510,893,261.46,15,False,False
1003,1963,370,1271,1640,184.93,13,False,False
887,1966,1319,156,1998,2050.25,18,False,True
102,1214,-1,1429,122,1021.15,13,False,False
194,1970,73,746,2556,373.11,20,False,False
1236,992,63,170,471,221.98,3,False,False
718,1432,-1,597,640,471.17,9,False,False
2464,1215,1694,887,2374,199.05,14,False,False
463,1000,-1,143,1114,1792.78,22,False,False
1756,483,1888,633,1516,573.96,20,False,False
17,2031,621,193,1708,243.18,20,False,False
761,2468,719,879,163,1074.26,23,True,True
2886,805,-1,494,903,1763.82,19,True,False
1157,269,1496,1469,79,1373.24,18,False,True
170,177,95,97,28,1369.99,22,False,False
1675,1067,161,657,263,1908.33,1,True,True
387,1424,444,1362,1037,242.23,11,False,False
1110,346,-1,143,80,1937.33,13,False,False
1749,633,1089,1591,2254,3585.9,21,False,True
1108,1490,107,1748,324,512.23,14,False,True
844,2017,860,684,1432,225.69,20,False,False
2536,566,378,1696,2389,104.81,15,False,False
1288,87,1848,1128,2580,166.75,1,False,False
2890,805,-1,494,2241,2320.53,19,True,True
1657,1840,1453,42,1937,351.63,2,True,False
564,2050,740,1130,2692,1517.72,17,False,True
1231,2512,1096,83,2003,333.73,11,False,False
2345,1614,842,622,642,303.44,11,False,False
1241,699,1778,1423,2097,475.38,0,False,False
1134,154,1623,1045,833,68.95,23,False,False
3188,203,-1,1137,718,242.04,18,False,False
507,942,44,499,480,2439.3,20,False,True
2213,1502,1174,715,2371,139.64,3,False,False
867,409,1947,880,1808,295.4,19,False,False
578,1902,-1,1624,358,741.65,17,False,False
1556,105,1539,727,2801,919.25,15,False,True
